URL_ID,positive_score,negative_score,polarity_score,total_words,subjectivity_score,number of sentence,average sentence length,complex_word_per_sentence,percentage of complex words,fog index,personal_pronouns,count_alphabets_per_sentence,average_word_length
blackassign0069,27,6,0.636363617,163,0.202453986,17,9.588235294,66,0.404907975,3.997257308,8,1186,7.27607362
blackassign0070,38,16,0.4074074,757,0.071334214,68,11.13235294,225,0.297225892,4.571831533,7,5398,7.130779392
blackassign0071,23,75,-0.530612239,394,0.248730964,70,5.628571429,91,0.230964467,2.343814358,11,2697,6.845177665
blackassign0072,62,22,0.476190471,471,0.178343949,76,6.197368421,85,0.180467091,2.551134205,5,3082,6.543524416
blackassign0073,24,46,-0.31428571,569,0.123022847,59,9.644067797,124,0.217926186,3.944797593,0,3738,6.569420035
blackassign0074,30,26,0.07142857,689,0.081277213,94,7.329787234,191,0.277213353,3.042800235,6,4996,7.251088534
blackassign0075,23,84,-0.570093453,420,0.254761904,72,5.833333333,98,0.233333333,2.426666667,13,2886,6.871428571
blackassign0076,38,34,0.055555555,626,0.115015974,67,9.343283582,162,0.258785942,3.84082781,5,4382,7
blackassign0077,23,13,0.27777777,359,0.100278551,27,13.2962963,98,0.272980501,5.427710719,1,2566,7.147632312
blackassign0078,36,24,0.199999997,580,0.103448276,40,14.5,169,0.29137931,5.916551724,1,4235,7.301724138
blackassign0079,31,52,-0.253012045,774,0.107235142,80,9.675,183,0.236434109,3.964573643,5,5401,6.978036176
blackassign0080,33,13,0.434782599,1633,0.028169014,248,6.584677419,297,0.181873852,2.706620508,0,10648,6.520514391
blackassign0081,34,43,-0.116883115,763,0.100917431,83,9.192771084,192,0.25163827,3.777763742,10,5523,7.23853211
blackassign0082,28,62,-0.377777774,790,0.11392405,62,12.74193548,249,0.315189873,5.222850143,0,5807,7.350632911
blackassign0083,3,3,0,63,0.095238094,8,7.875,16,0.253968254,3.251587302,2,438,6.952380952
blackassign0084,31,4,0.771428549,413,0.084745763,46,8.97826087,96,0.232445521,3.684282556,1,2792,6.760290557
blackassign0085,38,34,0.055555555,690,0.104347826,118,5.847457627,205,0.297101449,2.457823631,5,5047,7.314492754
blackassign0086,52,16,0.529411757,775,0.087741935,89,8.707865169,231,0.298064516,3.602371874,5,5564,7.179354839
blackassign0087,29,32,-0.049180327,472,0.129237288,47,10.04255319,122,0.258474576,4.120411107,3,3324,7.042372881
blackassign0088,17,44,-0.442622944,850,0.071764706,79,10.75949367,246,0.289411765,4.419562174,1,6134,7.216470588
blackassign0089,14,42,-0.499999991,433,0.129330254,49,8.836734694,117,0.270207852,3.642777018,4,3100,7.159353349
blackassign0090,34,47,-0.160493825,498,0.162650602,72,6.916666667,122,0.24497992,2.864658635,27,3507,7.042168675
blackassign0091,23,27,-0.079999998,463,0.10799136,38,12.18421053,148,0.319654428,5.001545982,12,3328,7.187904968
blackassign0092,19,43,-0.387096768,618,0.100323624,66,9.363636364,191,0.309061489,3.869079141,2,4601,7.444983819
blackassign0093,3,3,0,67,0.089552237,9,7.444444444,16,0.23880597,3.073300166,2,447,6.671641791
blackassign0094,29,47,-0.236842102,509,0.149312377,62,8.209677419,104,0.2043222,3.365599848,11,3485,6.84675835
blackassign0095,6,25,-0.612903206,290,0.106896551,34,8.529411765,68,0.234482759,3.505557809,4,2007,6.920689655
blackassign0096,25,54,-0.367088603,549,0.143897996,53,10.35849057,167,0.304189435,4.265072001,2,4002,7.289617486
blackassign0097,21,35,-0.249999996,405,0.138271605,39,10.38461538,73,0.180246914,4.225944919,5,2753,6.797530864
blackassign0098,5,3,0.249999969,202,0.03960396,25,8.08,61,0.301980198,3.352792079,0,1481,7.331683168
blackassign0099,15,3,0.66666663,260,0.069230769,35,7.428571429,54,0.207692308,3.054505495,3,1694,6.515384615
blackassign0100,29,59,-0.340909087,504,0.174603174,35,14.4,134,0.265873016,5.866349206,3,3684,7.30952381
